id,probability,payoutMultiplier
1182,1000000,12.48
1183,1000000,189.68
1184,1000000,262.11
1185,1000000,267.18
1186,1000000,5.1
1187,1000000,418.62
1188,1000000,0.19
1189,1000000,316.63
1190,1000000,0.98
1191,1000000,4.48
1192,1000000,258.15
1193,1000000,23.54
1194,1000000,265.36
1195,1000000,233.19
1196,1000000,19.11
1197,1000000,172.73
1198,1000000,3.64
1199,1000000,136.35
1200,1000000,0.18
1201,1000000,127.14
1202,1000000,113.12
1203,1000000,166.67
1204,1000000,0.05
1205,1000000,0.9
1206,1000000,64.47
1207,1000000,33.05
1208,1000000,190.4
1209,1000000,322.44
1210,1000000,112.84
1211,1000000,306.46
1212,1000000,164.91
1213,1000000,131.74
1214,1000000,161.07
1215,1000000,289.34
1216,1000000,201.97
1217,1000000,7.44
1218,1000000,163.57
1219,1000000,142.61
1220,1000000,31.96
1221,1000000,86.66
1222,1000000,139.17
1223,1000000,78.4
1224,1000000,32.73
1225,1000000,123.08
1226,1000000,4.69
1227,1000000,357.03
1228,1000000,282.98
1229,1000000,117.56
1230,1000000,98.4
1231,1000000,76.93
1232,1000000,5.69
1233,1000000,80.67
1234,1000000,218.04
1235,1000000,57.89
1236,1000000,0.69
1237,1000000,1.48
1238,1000000,0.23
1239,1000000,243.83
1240,1000000,0.47
1241,1000000,9.94
1242,1000000,17.58
1243,1000000,292.31
1244,1000000,13.2
1245,1000000,143.92
1246,1000000,73.87
1247,1000000,50.18
1248,1000000,265.9
1249,1000000,19.63
1250,1000000,2.09
1251,1000000,54.01
1252,1000000,161.37
1253,1000000,160.97
1254,1000000,91.94
1255,1000000,153.31
1256,1000000,53.89
1257,1000000,0.32
1258,1000000,5.67
1259,1000000,0.2
1260,1000000,232.53
1261,1000000,151.87
1262,1000000,8.46
1263,1000000,39.93
1264,1000000,83.92
1265,1000000,5.33
1266,1000000,30.31
1267,1000000,4.22
1268,1000000,70.73
1269,1000000,84.58
1270,1000000,44.43
1271,1000000,108.35
1272,1000000,78.37
1273,1000000,0.48
1274,1000000,29.95
1275,1000000,1.32
1276,1000000,1.08
1277,1000000,75.79
1278,1000000,158.99
1279,1000000,70.32
1280,1000000,222.35
1281,1000000,270.07
1282,1000000,39.62
1283,1000000,158.84
1284,1000000,215.44
1285,1000000,11.07
1286,1000000,102.56
1287,1000000,221.27
1288,1000000,94.24
1289,1000000,12.38
1290,1000000,2.88
1291,1000000,1.51
1292,1000000,48.99
1293,1000000,0.24
1294,1000000,158.09
1295,1000000,0.11
1296,1000000,74.75
1297,1000000,44.38
1298,1000000,47.85
1299,1000000,202.89
